step training_loss training_accuracy
1018 0.450929 0.84375
1019 0.427611 0.859375
1020 0.400426 0.890625
1021 0.404787 0.882812
1022 0.389425 0.894531
1023 0.436639 0.871094
1024 0.452615 0.847656
1025 0.563757 0.832031
1026 0.461323 0.851562
1027 0.53446 0.851562
1028 0.442914 0.859375
1029 0.460577 0.855469
1030 0.511098 0.855469
1031 0.402349 0.867188
1032 0.383679 0.886719
1033 0.440628 0.859375
1034 0.577122 0.839844
1035 0.579208 0.820312
1036 0.479561 0.839844
1037 0.486276 0.847656
1038 0.370095 0.847656
1039 0.397482 0.882812
1040 0.365019 0.90625
1041 0.312552 0.90625
1042 0.423049 0.867188
1043 0.373292 0.890625
1044 0.335015 0.914062
1045 0.498684 0.84375
1046 0.356415 0.886719
1047 0.406948 0.863281
1048 0.471049 0.84375
1049 0.44047 0.859375
1050 0.372915 0.878906
1051 0.465929 0.84375
1052 0.401942 0.875
1053 0.404256 0.855469
1054 0.407469 0.886719
1055 0.445876 0.867188
1056 0.485158 0.847656
1057 0.363431 0.902344
1058 0.346575 0.886719
1059 0.369604 0.878906
1060 0.47193 0.832031
1061 0.470521 0.855469
1062 0.330761 0.914062
1063 0.451886 0.863281
1064 0.312435 0.890625
1065 0.549282 0.820312
1066 0.416146 0.867188
1067 0.33309 0.886719
1068 0.43859 0.878906
1069 0.345739 0.890625
1070 0.446851 0.855469
1071 0.594905 0.820312
1072 0.460927 0.871094
1073 0.472152 0.859375
1074 0.418784 0.863281
1075 0.386499 0.894531
1076 0.457223 0.878906
1077 0.417617 0.867188
1078 0.421873 0.851562
1079 0.414198 0.882812
1080 0.486048 0.859375
1081 0.432833 0.863281
1082 0.408472 0.863281
1083 0.580033 0.835938
1084 0.394517 0.867188
1085 0.353752 0.894531
1086 0.450793 0.84375
1087 0.368439 0.886719
1088 0.568772 0.847656
1089 0.441522 0.867188
1090 0.437047 0.863281
1091 0.56617 0.800781
1092 0.426864 0.875
1093 0.369088 0.890625
1094 0.617874 0.835938
1095 0.361623 0.882812
1096 0.468089 0.867188
1097 0.625753 0.824219
1098 0.469177 0.855469
1099 0.390862 0.867188
1100 0.444504 0.882812
1101 0.473048 0.878906
1102 0.389882 0.859375
1103 0.448306 0.851562
1104 0.348018 0.886719
1105 0.445193 0.863281
1106 0.462556 0.859375
1107 0.348598 0.886719
1108 0.378616 0.890625
1109 0.304146 0.914062
1110 0.472125 0.863281
1111 0.372228 0.882812
1112 0.386298 0.875
1113 0.448093 0.875
1114 0.415142 0.878906
1115 0.475163 0.863281
1116 0.421258 0.871094
1117 0.321501 0.910156
1118 0.45495 0.851562
1119 0.458024 0.855469
1120 0.42728 0.898438
1121 0.541302 0.835938
1122 0.366985 0.898438
1123 0.373203 0.878906
1124 0.368495 0.898438
1125 0.456022 0.855469
1126 0.413802 0.867188
1127 0.42665 0.875
1128 0.371426 0.886719
1129 0.388083 0.878906
1130 0.402574 0.867188
1131 0.3612 0.890625
1132 0.377924 0.878906
1133 0.399769 0.878906
1134 0.331503 0.886719
1135 0.368994 0.875
1136 0.367076 0.878906
1137 0.496975 0.851562
1138 0.513997 0.867188
1139 0.432373 0.886719
1140 0.308782 0.894531
1141 0.36449 0.867188
1142 0.481158 0.84375
1143 0.404655 0.878906
1144 0.411068 0.882812
1145 0.40096 0.875
1146 0.471854 0.859375
1147 0.351779 0.890625
1148 0.444796 0.871094
1149 0.49035 0.855469
1150 0.356776 0.894531
1151 0.396622 0.894531
